sample_id,CAF,CD4_T,CD8_T,CD8_T_cytotoxic,Exhausted_T,PDAC_unclassified,Pattern2_Pattern7_class_1_class_2,Pattern7,Pattern7_class_1,Pattern7_class_1_class_2,Pattern7_class_2,Proliferating_T,Treg,other_immune,other_tissue,PDAC,apCAF,Pattern2,Pattern2_Pattern7,Pattern2_Pattern7_class_1,Pattern2_Pattern7_class_2,Pattern2_class_1,Pattern2_class_1_class_2,Pattern2_class_2,total ,percent CD8,percent CD4,percent Treg,percent CAF,percent apCAF,percent exhausted CD8,total tumor,tumor presenting antigen,percent tumor presenting antigen
HT056P1_S1PA,393,16,186,455,188,241,1,9,123,99,1,89,254,1923,133,0,0,0,0,0,0,0,0,0,2055,35.52311436,0,12.36009732,19.12408759,0,9.148418491,474,224,47.25738397
HT056P1_S1PB,752,24,119,138,10,90,1,8,35,25,1,7,29,522,287,0,0,0,0,0,0,0,0,0,1239,21.30750605,1.937046005,2.340597256,60.69410815,0,0.807102502,160,62,38.75
HT056P1_S1R1,796,243,234,351,66,41,0,0,0,1,0,16,83,569,227,0,0,0,0,0,0,0,0,0,1831,32.82359366,13.27143637,4.533042054,43.47351174,0,3.604587657,42,1,2.380952381
HT060P1_S1PA,4225,425,317,181,6,0,0,0,0,0,0,13,437,686,598,239,26,0,0,0,0,0,0,0,5869,8.706764355,7.241438064,7.445902198,71.9884137,0.443005623,0.102232067,239,0,0
HT060P1_S1PB,2749,677,545,225,10,0,0,0,0,0,0,8,556,609,650,141,13,0,0,0,0,0,0,0,4924,15.80016247,13.74898457,11.29163282,55.82859464,0.264012998,0.203086921,141,0,0
HT060P1_S1R1,4457,1383,309,171,11,93,276,21,13,71,27,18,541,1291,997,0,23,2,31,20,110,2,9,2,7590,6.561264822,18.22134387,7.127799736,58.72200264,0.303030303,0.144927536,677,530,78.28655835
HT061P1_S1PA,289,23,372,106,16,133,16,0,9,6,1,9,45,380,564,0,13,34,4,0,1,15,63,11,1166,41.76672384,1.972555746,3.859348199,24.78559177,1.114922813,1.372212693,293,122,41.63822526
HT061P1_S1PB,190,0,63,22,6,218,0,6,4,1,0,6,18,453,64,0,1,58,11,6,0,35,2,1,648,14.04320988,0,2.777777778,29.32098765,0.154320988,0.925925926,342,49,14.32748538
HT061P1_S1PC,270,2,68,41,17,235,7,4,4,3,0,9,24,379,53,0,4,41,7,11,0,25,5,0,777,15.18661519,0.257400257,3.088803089,34.74903475,0.514800515,2.187902188,342,55,16.08187135
HT061P1_S1R1,367,26,185,142,3,133,11,3,4,9,3,2,15,287,350,0,10,23,0,1,2,19,30,10,998,32.96593186,2.605210421,1.503006012,36.77354709,1.002004008,0.300601202,248,89,35.88709677
HT064P1_S1H1,262,32,284,132,10,131,3,43,20,14,5,2,29,235,126,0,0,0,2,3,0,0,0,0,972,43.00411523,3.29218107,2.983539095,26.95473251,0,1.028806584,221,45,20.36199095
HT064P1_S1H3,144,12,214,18,2,151,3,19,17,98,3,3,11,191,152,0,0,14,7,5,0,9,0,0,730,32.19178082,1.643835616,1.506849315,19.7260274,0,0.273972603,326,135,41.41104294
HT064P1_S1H7,450,7,620,95,3,120,4,54,29,8,1,8,7,803,273,0,0,9,4,8,8,6,1,0,1442,50.13869626,0.485436893,0.485436893,31.20665742,0,0.208044383,252,65,25.79365079
HT064P1_S1H9,313,0,342,5,2,28,0,1,13,3,0,8,2,556,343,0,0,2,0,4,0,3,1,0,727,48.83081155,0,0.275103164,43.05364512,0,0.275103164,55,24,43.63636364
HT071P1_S1H1,533,8,98,64,0,28,1,14,3,0,0,2,34,88,91,0,84,0,0,0,0,0,0,1,870,18.85057471,0.91954023,3.908045977,61.26436782,9.655172414,0,47,5,10.63829787
HT071P1_S1H4,932,14,140,50,0,54,0,26,31,0,0,4,57,178,144,0,43,0,0,3,0,0,0,0,1354,14.32791728,1.033973412,4.209748892,68.83308715,3.17577548,0,114,34,29.8245614
HT071P1_S1H5,1158,96,195,94,0,136,2,5,2,3,0,5,64,312,247,0,50,1,0,0,0,2,0,0,1813,16.21621622,5.295091009,3.530060673,63.8720353,2.757859901,0,151,9,5.960264901
HT071P1_S1H9,203,5,28,35,0,21,0,2,0,0,0,2,10,44,26,0,42,0,0,0,0,0,0,0,348,18.67816092,1.436781609,2.873563218,58.33333333,12.06896552,0,23,0,0
HT085P1_S1H1,71,24,52,31,4,76,8,0,16,8,0,0,14,94,21,0,4,0,0,8,1,1,2,0,320,25.9375,7.5,4.375,22.1875,1.25,1.25,120,44,36.66666667
HT085P1_S1H2,47,15,68,51,6,60,7,0,8,12,0,2,24,124,29,0,2,0,0,1,0,0,1,0,304,39.80263158,4.934210526,7.894736842,15.46052632,0.657894737,1.973684211,89,29,32.58426966
HT085P1_S1H3,41,12,30,22,1,236,83,5,52,41,1,4,16,71,26,0,3,2,5,37,3,16,11,2,623,8.988764045,1.926163724,2.568218299,6.58105939,0.481540931,0.160513644,494,246,49.79757085
HT085P1_S1H4,37,17,35,16,2,148,54,0,35,51,0,7,12,114,40,0,0,1,1,12,2,12,3,0,445,13.03370787,3.820224719,2.696629213,8.314606742,0,0.449438202,319,169,52.97805643
HT115P1_S1H3,911,164,642,250,2,258,62,0,1,2,1,8,89,1235,483,0,0,23,0,1,15,13,444,198,3084,29.18287938,5.317769131,2.885862516,29.53955901,0,0.064850843,1018,737,72.39685658
HT115P1_S1H5,136,139,334,147,1,130,15,8,1,1,1,4,47,633,135,0,0,24,0,0,2,8,123,81,1202,40.34941764,11.5640599,3.91014975,11.31447587,0,0.083194676,394,232,58.88324873
HT115P1_S1H6,408,15,84,27,0,76,19,0,0,2,0,5,4,141,286,0,2,35,0,2,5,8,106,101,899,12.90322581,1.668520578,0.444938821,45.38375973,0.22246941,0,354,243,68.6440678
HT121P1_S1H3,218,16,288,197,5,78,0,1,1,0,1,0,6,320,247,0,3,5,2,4,1,3,1,1,831,58.36341757,1.925391095,0.722021661,26.23345367,0.36101083,0.601684717,98,12,12.24489796
HT121P1_S1H4,16,226,660,343,2,156,1,1,2,0,0,1,58,681,85,0,0,57,3,4,0,8,4,4,1546,64.94178525,14.61836999,3.751617076,1.034928849,0,0.129366106,240,23,9.583333333
HT121P1_S1H5,73,140,412,212,6,97,0,2,4,2,0,0,76,301,90,0,0,46,7,4,0,14,6,3,1104,56.52173913,12.68115942,6.884057971,6.612318841,0,0.543478261,185,33,17.83783784
