sample_id,total,CAF,CD4_Tcell,CD8_Tcell,PDAC_unclassified,Treg,apCAF,epithelial_normal,epithelial_tumor_class1,epithelial_tumor_class1_class2,mesenchymal_tumor_class1,mesenchymal_tumor_class1_class2
JHH317ROI1,2000,907,700,140,0,0,50,12,174,17,0,0
JHH317ROI2,775,116,56,44,57,150,10,0,82,3,232,25
JHH317ROI3,1775,321,40,50,0,215,29,308,237,20,528,27
JHH317ROI4,4713,936,282,420,0,828,15,1395,606,3,219,9
JHH352ROI1,2139,227,1241,283,0,0,88,266,10,2,19,3
JHH352ROI2,61,4,5,31,0,0,0,17,1,0,2,1
JHH352ROI3,140,2,65,29,0,0,0,39,1,0,4,0
JHH352ROI4,643,262,48,36,0,0,35,42,25,1,191,3
JHH368ROI1,2473,871,425,208,0,0,260,549,101,3,50,6
JHH368ROI2,2251,790,492,311,0,0,260,192,120,5,72,9
JHH368ROI3,1920,769,345,137,0,0,226,124,188,8,115,8
JHH368ROI4,612,275,50,28,0,0,28,125,43,1,61,1
JHH387ROI1,3264,1682,122,266,0,246,124,0,478,2,332,12
JHH387ROI2,1931,534,143,320,0,0,18,587,327,2,0,0
JHH387ROI3,1817,893,236,224,0,0,19,384,61,0,0,0
JHH387ROI4,2275,1056,123,219,0,0,30,342,500,5,0,0
