x,y,z,ecm
-790,-790,0,4.461532971829462
-770,-790,0,4.461532971829462
-750,-790,0,4.461532971829462
-730,-790,0,4.461532971829462
-710,-790,0,4.461532971829462
-690,-790,0,4.461532971829462
-670,-790,0,4.461532971829462
-650,-790,0,4.461532971829462
-630,-790,0,4.461532971829462
-610,-790,0,4.461532971829462
-590,-790,0,4.461532971829462
-570,-790,0,4.461532971829462
-550,-790,0,4.461532971829462
-530,-790,0,4.461532971829462
-510,-790,0,4.461532971829462
-490,-790,0,4.461532971829462
-470,-790,0,4.461532971829462
-450,-790,0,4.461532971829462
-430,-790,0,4.461532971829462
-410,-790,0,4.461532971829462
-390,-790,0,4.461532971829462
-370,-790,0,4.461532971829462
-350,-790,0,4.461532971829462
-330,-790,0,4.461532971829462
-310,-790,0,4.461532971829462
-290,-790,0,4.461532971829462
-270,-790,0,4.461532971829462
-250,-790,0,4.461532971829462
-230,-790,0,4.461532971829462
-210,-790,0,4.461532971829462
-190,-790,0,4.461532971829462
-170,-790,0,4.461532971829462
-150,-790,0,4.461532971829462
-130,-790,0,4.461532971829462
-110,-790,0,4.461532971829462
-90,-790,0,4.461532971829462
-70,-790,0,4.461532971829462
-50,-790,0,4.461532971829462
-30,-790,0,4.461532971829462
-10,-790,0,4.461532971829462
10,-790,0,4.461532971829462
30,-790,0,4.461532971829462
50,-790,0,4.461532971829462
70,-790,0,4.461532971829462
90,-790,0,4.461532971829462
110,-790,0,4.461532971829462
130,-790,0,4.461532971829462
150,-790,0,4.461532971829462
170,-790,0,4.461532971829462
190,-790,0,4.461532971829462
210,-790,0,4.461532971829462
230,-790,0,4.461532971829462
250,-790,0,4.461532971829462
270,-790,0,4.461532971829462
290,-790,0,4.461532971829462
310,-790,0,4.461532971829462
330,-790,0,4.461532971829462
350,-790,0,4.461532971829462
370,-790,0,4.461532971829462
390,-790,0,4.461532971829462
410,-790,0,4.461532971829462
430,-790,0,4.461532971829462
450,-790,0,4.461532971829462
470,-790,0,4.461532971829462
490,-790,0,4.461532971829462
510,-790,0,4.461532971829462
530,-790,0,4.461532971829462
550,-790,0,4.461532971829462
570,-790,0,4.461532971829462
590,-790,0,4.461532971829462
610,-790,0,4.461532971829462
630,-790,0,4.461532971829462
650,-790,0,4.461532971829462
670,-790,0,4.461532971829462
690,-790,0,4.461532971829462
710,-790,0,4.461532971829462
730,-790,0,4.461532971829462
750,-790,0,4.461532971829462
770,-790,0,4.461532971829462
790,-790,0,4.461532971829462
-790,-770,0,4.461532971829462
-770,-770,0,4.461532971829462
-750,-770,0,4.461532971829462
-730,-770,0,4.461532971829462
-710,-770,0,4.461532971829462
-690,-770,0,4.461532971829462
-670,-770,0,4.461532971829462
-650,-770,0,4.461532971829462
-630,-770,0,4.461532971829462
-610,-770,0,4.461532971829462
-590,-770,0,4.461532971829462
-570,-770,0,4.461532971829462
-550,-770,0,4.461532971829462
-530,-770,0,4.461532971829462
-510,-770,0,4.461532971829462
-490,-770,0,4.461532971829462
-470,-770,0,4.461532971829462
-450,-770,0,4.461532971829462
-430,-770,0,4.461532971829462
-410,-770,0,4.461532971829462
-390,-770,0,4.461532971829462
-370,-770,0,4.461532971829462
-350,-770,0,4.461532971829462
-330,-770,0,4.461532971829462
-310,-770,0,4.461532971829462
-290,-770,0,4.461532971829462
-270,-770,0,4.461532971829462
-250,-770,0,4.461532971829462
-230,-770,0,4.461532971829462
-210,-770,0,4.461532971829462
-190,-770,0,4.461532971829462
-170,-770,0,4.461532971829462
-150,-770,0,4.461532971829462
-130,-770,0,4.461532971829462
-110,-770,0,4.461532971829462
-90,-770,0,4.461532971829462
-70,-770,0,4.461532971829462
-50,-770,0,4.461532971829462
-30,-770,0,4.461532971829462
-10,-770,0,4.461532971829462
10,-770,0,4.461532971829462
30,-770,0,4.461532971829462
50,-770,0,4.461532971829462
70,-770,0,4.461532971829462
90,-770,0,4.461532971829462
110,-770,0,4.461532971829462
130,-770,0,4.461532971829462
150,-770,0,4.461532971829462
170,-770,0,4.461532971829462
190,-770,0,4.461532971829462
210,-770,0,4.461532971829462
230,-770,0,4.461532971829462
250,-770,0,4.461532971829462
270,-770,0,4.461532971829462
290,-770,0,4.461532971829462
310,-770,0,4.461532971829462
330,-770,0,4.461532971829462
350,-770,0,4.461532971829462
370,-770,0,4.461532971829462
390,-770,0,4.461532971829462
410,-770,0,4.461532971829462
430,-770,0,4.461532971829462
450,-770,0,4.461532971829462
470,-770,0,4.461532971829462
490,-770,0,4.461532971829462
510,-770,0,4.461532971829462
530,-770,0,4.461532971829462
550,-770,0,4.461532971829462
570,-770,0,4.461532971829462
590,-770,0,4.461532971829462
610,-770,0,4.461532971829462
630,-770,0,4.461532971829462
650,-770,0,4.461532971829462
670,-770,0,4.461532971829462
690,-770,0,4.461532971829462
710,-770,0,4.461532971829462
730,-770,0,4.461532971829462
750,-770,0,4.461532971829462
770,-770,0,4.461532971829462
790,-770,0,4.461532971829462
-790,-750,0,4.461532971829462
-770,-750,0,4.461532971829462
-750,-750,0,4.461532971829462
-730,-750,0,4.461532971829462
-710,-750,0,4.461532971829462
-690,-750,0,4.461532971829462
-670,-750,0,4.461532971829462
-650,-750,0,4.461532971829462
-630,-750,0,4.461532971829462
-610,-750,0,4.461532971829462
-590,-750,0,4.461532971829462
-570,-750,0,4.461532971829462
-550,-750,0,4.461532971829462
-530,-750,0,4.461532971829462
-510,-750,0,4.461532971829462
-490,-750,0,4.461532971829462
-470,-750,0,4.461532971829462
-450,-750,0,4.461532971829462
-430,-750,0,4.461532971829462
-410,-750,0,4.461532971829462
-390,-750,0,4.461532971829462
-370,-750,0,4.461532971829462
-350,-750,0,4.461532971829462
-330,-750,0,4.461532971829462
-310,-750,0,4.461532971829462
-290,-750,0,4.461532971829462
-270,-750,0,4.461532971829462
-250,-750,0,4.461532971829462
-230,-750,0,4.461532971829462
-210,-750,0,4.461532971829462
-190,-750,0,4.461532971829462
-170,-750,0,4.461532971829462
-150,-750,0,4.461532971829462
-130,-750,0,4.461532971829462
-110,-750,0,4.461532971829462
-90,-750,0,4.461532971829462
-70,-750,0,4.461532971829462
-50,-750,0,4.461532971829462
-30,-750,0,4.461532971829462
-10,-750,0,4.461532971829462
10,-750,0,4.461532971829462
30,-750,0,4.461532971829462
50,-750,0,4.461532971829462
70,-750,0,4.461532971829462
90,-750,0,4.461532971829462
110,-750,0,4.461532971829462
130,-750,0,4.461532971829462
150,-750,0,4.461532971829462
170,-750,0,4.461532971829462
190,-750,0,4.461532971829462
210,-750,0,4.461532971829462
230,-750,0,4.461532971829462
250,-750,0,4.461532971829462
270,-750,0,4.461532971829462
290,-750,0,4.461532971829462
310,-750,0,4.461532971829462
330,-750,0,4.461532971829462
350,-750,0,4.461532971829462
370,-750,0,4.461532971829462
390,-750,0,4.461532971829462
410,-750,0,4.461532971829462
430,-750,0,4.461532971829462
450,-750,0,4.461532971829462
470,-750,0,4.461532971829462
490,-750,0,4.461532971829462
510,-750,0,4.461532971829462
530,-750,0,4.461532971829462
550,-750,0,4.461532971829462
570,-750,0,4.461532971829462
590,-750,0,4.461532971829462
610,-750,0,4.461532971829462
630,-750,0,4.461532971829462
650,-750,0,4.461532971829462
670,-750,0,4.461532971829462
690,-750,0,4.461532971829462
710,-750,0,4.461532971829462
730,-750,0,4.461532971829462
750,-750,0,4.461532971829462
770,-750,0,4.461532971829462
790,-750,0,4.461532971829462
-790,-730,0,4.461532971829462
-770,-730,0,4.461532971829462
-750,-730,0,4.461532971829462
-730,-730,0,4.461532971829462
-710,-730,0,4.461532971829462
-690,-730,0,4.461532971829462
-670,-730,0,4.461532971829462
-650,-730,0,4.461532971829462
-630,-730,0,4.461532971829462
-610,-730,0,4.461532971829462
-590,-730,0,4.461532971829462
-570,-730,0,4.461532971829462
-550,-730,0,4.461532971829462
-530,-730,0,4.461532971829462
-510,-730,0,4.461532971829462
-490,-730,0,4.461532971829462
-470,-730,0,4.461532971829462
-450,-730,0,4.461532971829462
-430,-730,0,4.461532971829462
-410,-730,0,4.461532971829462
-390,-730,0,4.461532971829462
-370,-730,0,4.461532971829462
-350,-730,0,4.461532971829462
-330,-730,0,4.461532971829462
-310,-730,0,4.461532971829462
-290,-730,0,4.461532971829462
-270,-730,0,4.461532971829462
-250,-730,0,4.461532971829462
-230,-730,0,4.461532971829462
-210,-730,0,4.461532971829462
-190,-730,0,4.461532971829462
-170,-730,0,4.461532971829462
-150,-730,0,4.461532971829462
-130,-730,0,4.461532971829462
-110,-730,0,4.461532971829462
-90,-730,0,4.461532971829462
-70,-730,0,4.461532971829462
-50,-730,0,4.461532971829462
-30,-730,0,4.461532971829462
-10,-730,0,4.461532971829462
10,-730,0,4.461532971829462
30,-730,0,4.461532971829462
50,-730,0,4.461532971829462
70,-730,0,4.461532971829462
90,-730,0,4.461532971829462
110,-730,0,4.461532971829462
130,-730,0,4.461532971829462
150,-730,0,4.461532971829462
170,-730,0,4.461532971829462
190,-730,0,4.461532971829462
210,-730,0,4.461532971829462
230,-730,0,4.461532971829462
250,-730,0,4.461532971829462
270,-730,0,4.461532971829462
290,-730,0,4.461532971829462
310,-730,0,4.461532971829462
330,-730,0,4.461532971829462
350,-730,0,4.461532971829462
370,-730,0,4.461532971829462
390,-730,0,4.461532971829462
410,-730,0,4.461532971829462
430,-730,0,4.461532971829462
450,-730,0,4.461532971829462
470,-730,0,4.461532971829462
490,-730,0,4.461532971829462
510,-730,0,4.461532971829462
530,-730,0,4.461532971829462
550,-730,0,4.461532971829462
570,-730,0,4.461532971829462
590,-730,0,4.461532971829462
610,-730,0,4.461532971829462
630,-730,0,4.461532971829462
650,-730,0,4.461532971829462
670,-730,0,4.461532971829462
690,-730,0,4.461532971829462
710,-730,0,4.461532971829462
730,-730,0,4.461532971829462
750,-730,0,4.461532971829462
770,-730,0,4.461532971829462
790,-730,0,4.461532971829462
-790,-710,0,4.461532971829462
-770,-710,0,4.461532971829462
-750,-710,0,4.461532971829462
-730,-710,0,4.461532971829462
-710,-710,0,4.461532971829462
-690,-710,0,4.461532971829462
-670,-710,0,4.461532971829462
-650,-710,0,4.461532971829462
-630,-710,0,4.461532971829462
-610,-710,0,4.461532971829462
-590,-710,0,4.461532971829462
-570,-710,0,4.461532971829462
-550,-710,0,4.461532971829462
-530,-710,0,4.461532971829462
-510,-710,0,4.461532971829462
-490,-710,0,4.461532971829462
-470,-710,0,4.461532971829462
-450,-710,0,4.461532971829462
-430,-710,0,4.461532971829462
-410,-710,0,4.461532971829462
-390,-710,0,4.461532971829462
-370,-710,0,4.461532971829462
-350,-710,0,4.461532971829462
-330,-710,0,4.461532971829462
-310,-710,0,4.461532971829462
-290,-710,0,4.461532971829462
-270,-710,0,4.461532971829462
-250,-710,0,4.461532971829462
-230,-710,0,4.461532971829462
-210,-710,0,4.461532971829462
-190,-710,0,4.461532971829462
-170,-710,0,4.461532971829462
-150,-710,0,4.461532971829462
-130,-710,0,4.461532971829462
-110,-710,0,4.461532971829462
-90,-710,0,4.461532971829462
-70,-710,0,4.461532971829462
-50,-710,0,4.461532971829462
-30,-710,0,4.461532971829462
-10,-710,0,4.461532971829462
10,-710,0,4.461532971829462
30,-710,0,4.461532971829462
50,-710,0,4.461532971829462
70,-710,0,4.461532971829462
90,-710,0,4.461532971829462
110,-710,0,4.461532971829462
130,-710,0,4.461532971829462
150,-710,0,4.461532971829462
170,-710,0,4.461532971829462
190,-710,0,4.461532971829462
210,-710,0,4.461532971829462
230,-710,0,4.461532971829462
250,-710,0,4.461532971829462
270,-710,0,4.461532971829462
290,-710,0,4.461532971829462
310,-710,0,4.461532971829462
330,-710,0,4.461532971829462
350,-710,0,4.461532971829462
370,-710,0,4.461532971829462
390,-710,0,4.461532971829462
410,-710,0,4.461532971829462
430,-710,0,4.461532971829462
450,-710,0,4.461532971829462
470,-710,0,4.461532971829462
490,-710,0,4.461532971829462
510,-710,0,4.461532971829462
530,-710,0,4.461532971829462
550,-710,0,4.461532971829462
570,-710,0,4.461532971829462
590,-710,0,4.461532971829462
610,-710,0,4.461532971829462
630,-710,0,4.461532971829462
650,-710,0,4.461532971829462
670,-710,0,4.461532971829462
690,-710,0,4.461532971829462
710,-710,0,4.461532971829462
730,-710,0,4.461532971829462
750,-710,0,4.461532971829462
770,-710,0,4.461532971829462
790,-710,0,4.461532971829462
-790,-690,0,4.461532971829462
-770,-690,0,4.461532971829462
-750,-690,0,4.461532971829462
-730,-690,0,4.461532971829462
-710,-690,0,4.461532971829462
-690,-690,0,4.461532971829462
-670,-690,0,4.461532971829462
-650,-690,0,4.461532971829462
-630,-690,0,4.461532971829462
-610,-690,0,4.461532971829462
-590,-690,0,4.461532971829462
-570,-690,0,4.461532971829462
-550,-690,0,4.461532971829462
-530,-690,0,4.461532971829462
-510,-690,0,4.461532971829462
-490,-690,0,4.461532971829462
-470,-690,0,4.461532971829462
-450,-690,0,4.461532971829462
-430,-690,0,4.461532971829462
-410,-690,0,4.461532971829462
-390,-690,0,4.461532971829462
-370,-690,0,4.461532971829462
-350,-690,0,4.461532971829462
-330,-690,0,4.461532971829462
-310,-690,0,4.461532971829462
-290,-690,0,4.461532971829462
-270,-690,0,4.461532971829462
-250,-690,0,4.461532971829462
-230,-690,0,4.461532971829462
-210,-690,0,4.461532971829462
-190,-690,0,4.461532971829462
-170,-690,0,4.461532971829462
-150,-690,0,4.461532971829462
-130,-690,0,4.461532971829462
-110,-690,0,4.461532971829462
-90,-690,0,4.461532971829462
-70,-690,0,4.461532971829462
-50,-690,0,4.461532971829462
-30,-690,0,4.461532971829462
-10,-690,0,4.461532971829462
10,-690,0,4.461532971829462
30,-690,0,4.461532971829462
50,-690,0,4.461532971829462
70,-690,0,4.461532971829462
90,-690,0,4.461532971829462
110,-690,0,4.461532971829462
130,-690,0,4.461532971829462
150,-690,0,4.461532971829462
170,-690,0,4.461532971829462
190,-690,0,4.461532971829462
210,-690,0,4.461532971829462
230,-690,0,4.461532971829462
250,-690,0,4.461532971829462
270,-690,0,4.461532971829462
290,-690,0,4.461532971829462
310,-690,0,4.461532971829462
330,-690,0,4.461532971829462
350,-690,0,4.461532971829462
370,-690,0,4.461532971829462
390,-690,0,4.461532971829462
410,-690,0,4.461532971829462
430,-690,0,4.461532971829462
450,-690,0,4.461532971829462
470,-690,0,4.461532971829462
490,-690,0,4.461532971829462
510,-690,0,4.461532971829462
530,-690,0,4.461532971829462
550,-690,0,4.461532971829462
570,-690,0,4.461532971829462
590,-690,0,4.461532971829462
610,-690,0,4.461532971829462
630,-690,0,4.461532971829462
650,-690,0,4.461532971829462
670,-690,0,4.461532971829462
690,-690,0,4.461532971829462
710,-690,0,4.461532971829462
730,-690,0,4.461532971829462
750,-690,0,4.461532971829462
770,-690,0,4.461532971829462
790,-690,0,4.461532971829462
-790,-670,0,4.461532971829462
-770,-670,0,4.461532971829462
-750,-670,0,4.461532971829462
-730,-670,0,4.461532971829462
-710,-670,0,4.461532971829462
-690,-670,0,4.461532971829462
-670,-670,0,4.461532971829462
-650,-670,0,4.461532971829462
-630,-670,0,4.461532971829462
-610,-670,0,4.461532971829462
-590,-670,0,4.461532971829462
-570,-670,0,4.461532971829462
-550,-670,0,4.461532971829462
-530,-670,0,4.461532971829462
-510,-670,0,4.461532971829462
-490,-670,0,4.461532971829462
-470,-670,0,4.461532971829462
-450,-670,0,4.461532971829462
-430,-670,0,4.461532971829462
-410,-670,0,4.461532971829462
-390,-670,0,4.461532971829462
-370,-670,0,4.461532971829462
-350,-670,0,4.461532971829462
-330,-670,0,4.461532971829462
-310,-670,0,4.461532971829462
-290,-670,0,4.461532971829462
-270,-670,0,4.461532971829462
-250,-670,0,4.461532971829462
-230,-670,0,4.461532971829462
-210,-670,0,4.461532971829462
-190,-670,0,4.461532971829462
-170,-670,0,4.461532971829462
-150,-670,0,4.461532971829462
-130,-670,0,4.461532971829462
-110,-670,0,4.461532971829462
-90,-670,0,4.461532971829462
-70,-670,0,4.461532971829462
-50,-670,0,4.461532971829462
-30,-670,0,4.461532971829462
-10,-670,0,4.461532971829462
10,-670,0,4.461532971829462
30,-670,0,4.461532971829462
50,-670,0,4.461532971829462
70,-670,0,4.461532971829462
90,-670,0,4.461532971829462
110,-670,0,4.461532971829462
130,-670,0,4.461532971829462
150,-670,0,4.461532971829462
170,-670,0,4.461532971829462
190,-670,0,4.461532971829462
210,-670,0,4.461532971829462
230,-670,0,4.461532971829462
250,-670,0,4.461532971829462
270,-670,0,4.461532971829462
290,-670,0,4.461532971829462
310,-670,0,4.461532971829462
330,-670,0,4.461532971829462
350,-670,0,4.461532971829462
370,-670,0,4.461532971829462
390,-670,0,4.461532971829462
410,-670,0,4.461532971829462
430,-670,0,4.461532971829462
450,-670,0,4.461532971829462
470,-670,0,4.461532971829462
490,-670,0,4.461532971829462
510,-670,0,4.461532971829462
530,-670,0,4.461532971829462
550,-670,0,4.461532971829462
570,-670,0,4.461532971829462
590,-670,0,4.461532971829462
610,-670,0,4.461532971829462
630,-670,0,4.461532971829462
650,-670,0,4.461532971829462
670,-670,0,4.461532971829462
690,-670,0,4.461532971829462
710,-670,0,4.461532971829462
730,-670,0,4.461532971829462
750,-670,0,4.461532971829462
770,-670,0,4.461532971829462
790,-670,0,4.461532971829462
-790,-650,0,4.461532971829462
-770,-650,0,4.461532971829462
-750,-650,0,4.461532971829462
-730,-650,0,4.461532971829462
-710,-650,0,4.461532971829462
-690,-650,0,4.461532971829462
-670,-650,0,4.461532971829462
-650,-650,0,4.461532971829462
-630,-650,0,4.461532971829462
-610,-650,0,4.461532971829462
-590,-650,0,4.461532971829462
-570,-650,0,4.461532971829462
-550,-650,0,4.461532971829462
-530,-650,0,4.461532971829462
-510,-650,0,4.461532971829462
-490,-650,0,4.461532971829462
-470,-650,0,4.461532971829462
-450,-650,0,4.461532971829462
-430,-650,0,4.461532971829462
-410,-650,0,4.461532971829462
-390,-650,0,4.461532971829462
-370,-650,0,4.461532971829462
-350,-650,0,4.461532971829462
-330,-650,0,4.461532971829462
-310,-650,0,4.461532971829462
-290,-650,0,4.461532971829462
-270,-650,0,4.461532971829462
-250,-650,0,4.461532971829462
-230,-650,0,4.461532971829462
-210,-650,0,4.461532971829462
-190,-650,0,4.461532971829462
-170,-650,0,4.461532971829462
-150,-650,0,4.461532971829462
-130,-650,0,4.461532971829462
-110,-650,0,4.461532971829462
-90,-650,0,4.461532971829462
-70,-650,0,4.461532971829462
-50,-650,0,4.461532971829462
-30,-650,0,4.461532971829462
-10,-650,0,4.461532971829462
10,-650,0,4.461532971829462
30,-650,0,4.461532971829462
50,-650,0,4.461532971829462
70,-650,0,4.461532971829462
90,-650,0,4.461532971829462
110,-650,0,4.461532971829462
130,-650,0,4.461532971829462
150,-650,0,4.461532971829462
170,-650,0,4.461532971829462
190,-650,0,4.461532971829462
210,-650,0,4.461532971829462
230,-650,0,4.461532971829462
250,-650,0,4.461532971829462
270,-650,0,4.461532971829462
290,-650,0,4.461532971829462
310,-650,0,4.461532971829462
330,-650,0,4.461532971829462
350,-650,0,4.461532971829462
370,-650,0,4.461532971829462
390,-650,0,4.461532971829462
410,-650,0,4.461532971829462
