sample_id,total,CAF,CD4_Tcell,CD8_Tcell,apCAF,epithelial_tumor_class1,epithelial_tumor_class1_class2,mesenchymal_tumor_class1,mesenchymal_tumor_class1_class2
JHH317ROI1,2713,1072,831,267,351,146,41,4,1
JHH317ROI2,1149,638,233,49,90,124,9,4,2
JHH317ROI3,1822,746,183,54,139,619,70,9,2
JHH317ROI4,2276,985,354,170,72,652,37,6,0
JHH352ROI1,3530,917,1208,763,394,160,77,11,0
JHH352ROI2,360,70,2,0,0,283,4,0,1
JHH352ROI3,344,142,48,49,53,45,3,4,0
JHH352ROI4,837,127,39,18,19,590,15,29,0
JHH357ROI1,244,41,56,67,19,31,29,1,0
JHH357ROI3,676,123,133,133,52,195,39,1,0
JHH357ROI5,200,27,9,24,9,113,14,3,1
JHH361ROI1,4692,2570,362,273,428,760,90,192,17
JHH361ROI2,1256,52,46,154,19,619,315,51,0
JHH361ROI3,1045,23,10,8,13,634,232,117,8
JHH361ROI4,1164,2,0,0,0,1161,1,0,0
JHH362ROI1,804,34,5,3,1,752,4,5,0
JHH362ROI2,915,0,0,0,0,908,3,4,0
JHH362ROI3,868,21,6,2,3,646,107,79,4
JHH362ROI4,978,5,10,67,4,364,390,122,16
JHH368ROI1,4013,1212,703,712,591,148,59,528,60
JHH368ROI2,2447,504,501,598,225,78,27,452,62
JHH368ROI3,2114,513,349,244,166,67,15,692,68
JHH368ROI4,577,236,38,46,29,26,4,185,13
JHH369ROI1,2751,636,308,462,789,114,44,312,86
JHH369ROI2,1327,490,63,417,177,86,18,72,4
JHH369ROI3,3090,760,325,1126,405,232,56,166,20
JHH369ROI4,2775,625,369,756,512,164,78,243,28
JHH372ROI1,4557,1175,1025,179,1270,226,328,312,42
JHH372ROI2,4436,1432,683,269,966,503,189,345,49
JHH372ROI3,1743,710,329,42,394,166,46,52,4
JHH380ROI1,5124,1127,1838,849,930,146,89,53,92
JHH380ROI2,3237,464,954,1036,358,141,74,168,42
JHH380ROI3,960,236,169,295,127,79,52,2,0
JHH380ROI4,2377,394,724,645,243,220,137,12,2
JHH383ROI1,1645,386,299,152,202,236,92,198,80
JHH383ROI3,2026,436,545,293,412,176,58,80,26
JHH383ROI4,3075,486,821,430,692,188,275,126,57
JHH387ROI1,5127,3038,200,167,354,154,8,1174,32
JHH387ROI2,4302,1518,234,657,344,73,17,1409,50
JHH387ROI3,3762,2207,359,338,288,90,13,451,16
JHH387ROI4,3837,1407,205,366,296,289,23,1219,32
JHH388ROI1,2128,381,239,123,243,375,142,528,97
JHH388ROI2,1110,290,278,222,186,102,27,5,0
JHH388ROI3,1016,90,220,523,70,40,11,61,1
JHH388ROI5,2463,293,939,762,283,126,51,9,0
JHH390ROI2,1493,414,334,371,153,144,40,31,6
JHH390ROI3,723,247,106,91,89,148,32,10,0
JHH417RROI4,1957,706,414,56,185,185,10,393,8
