roi,x_min,x_max,y_min,y_max,vol_CAF_total,vol_CAF_nuclear,vol_CD4_Tcell_total,vol_CD4_Tcell_nuclear,vol_CD8_Tcell_total,vol_CD8_Tcell_nuclear,vol_CD8_exhausted_total,vol_CD8_exhausted_nuclear,vol_Treg_total,vol_Treg_nuclear,vol_apCAF_total,vol_apCAF_nuclear,vol_epithelial_tumor_class1_total,vol_epithelial_tumor_class1_nuclear,vol_epithelial_tumor_class1_class2_total,vol_epithelial_tumor_class1_class2_nuclear,vol_epithelial_tumor_class2_total,vol_epithelial_tumor_class2_nuclear,vol_mesenchymal_tumor_class1_total,vol_mesenchymal_tumor_class1_nuclear,vol_mesenchymal_tumor_class1_class2_total,vol_mesenchymal_tumor_class1_class2_nuclear,vol_mesenchymal_tumor_class2_total,vol_mesenchymal_tumor_class2_nuclear,vol_other_tissue_total,vol_other_tissue_nuclear
JHH317ROI1,-500.0,500.0,-290.0,290.0,274,59,399,86,408,88,408,88,399,86,274,59,941,204,941,204,941,204,553,120,553,120,553,120,175,38
JHH317ROI2,-500.0,500.0,-500.0,500.0,366,79,429,93,395,86,395,86,429,93,366,79,923,200,923,200,923,200,553,120,553,120,553,120,211,46
JHH317ROI3,-500.0,500.0,-500.0,500.0,399,86,498,108,484,105,484,105,498,108,399,86,1269,275,1269,275,1269,275,583,126,583,126,583,126,260,56
JHH317ROI4,-500.0,500.0,-500.0,500.0,351,76,442,96,432,94,432,94,442,96,351,76,1185,257,1185,257,1185,257,378,82,378,82,378,82,229,50
JHH352ROI1,-500.0,500.0,-500.0,500.0,387,84,404,87,406,88,406,88,404,87,387,84,1325,287,1325,287,1325,287,694,150,694,150,694,150,231,50
JHH352ROI2,-500.0,500.0,-500.0,500.0,529,115,408,88,405,88,405,88,408,88,529,115,3217,697,3217,697,3217,697,553,120,553,120,553,120,368,80
JHH352ROI3,-500.0,500.0,-500.0,500.0,400,87,514,111,432,94,432,94,514,111,400,87,2362,511,2362,511,2362,511,553,120,553,120,553,120,270,58
JHH352ROI4,-500.0,500.0,-500.0,500.0,493,107,462,100,401,87,401,87,462,100,493,107,2434,527,2434,527,2434,527,621,134,621,134,621,134,362,78
JHH357ROI1,-550.0,550.0,-550.0,550.0,440,95,669,145,485,105,485,105,669,145,440,95,1714,371,1714,371,1714,371,553,120,553,120,553,120,239,52
JHH357ROI3,-550.0,550.0,-550.0,550.0,468,101,590,128,678,147,678,147,590,128,468,101,2167,469,2167,469,2167,469,553,120,553,120,553,120,331,72
JHH357ROI5,-550.0,550.0,-550.0,550.0,516,112,423,92,593,128,593,128,423,92,516,112,2349,509,2349,509,2349,509,553,120,553,120,553,120,270,58
JHH361ROI1,-550.0,550.0,-550.0,550.0,294,64,423,92,396,86,396,86,423,92,294,64,1557,337,1557,337,1557,337,578,125,578,125,578,125,235,51
JHH361ROI2,-550.0,550.0,-550.0,550.0,941,204,952,206,1246,270,1246,270,952,206,941,204,2504,542,2504,542,2504,542,1355,293,1355,293,1355,293,977,212
JHH361ROI3,-550.0,550.0,-550.0,550.0,1227,266,996,216,1208,262,1208,262,996,216,1227,266,3042,659,3042,659,3042,659,1722,373,1722,373,1722,373,1006,218
JHH361ROI4,-550.0,550.0,-550.0,550.0,312,68,408,88,405,88,405,88,408,88,312,68,2958,640,2958,640,2958,640,553,120,553,120,553,120,1179,255
JHH362ROI1,-550.0,550.0,-550.0,550.0,575,124,543,118,405,88,405,88,543,118,575,124,3043,659,3043,659,3043,659,337,73,337,73,337,73,393,85
JHH362ROI2,-550.0,550.0,-550.0,550.0,312,68,408,88,405,88,405,88,408,88,312,68,3061,663,3061,663,3061,663,553,120,553,120,553,120,1066,231
JHH362ROI3,-550.0,550.0,-550.0,550.0,1036,224,1061,230,405,88,405,88,1061,230,1036,224,3054,661,3054,661,3054,661,1639,355,1639,355,1639,355,1023,221
JHH362ROI4,-550.0,550.0,-550.0,550.0,1314,285,962,208,1272,275,1272,275,962,208,1314,285,2599,563,2599,563,2599,563,1641,355,1641,355,1641,355,993,215
JHH368ROI1,-550.0,550.0,-550.0,550.0,412,89,509,110,489,106,489,106,509,110,412,89,1009,218,1009,218,1009,218,444,96,444,96,444,96,235,51
JHH368ROI2,-550.0,550.0,-550.0,550.0,436,94,432,94,441,95,441,95,432,94,436,94,1256,272,1256,272,1256,272,395,86,395,86,395,86,217,47
JHH368ROI3,-550.0,550.0,-550.0,550.0,460,100,403,87,380,82,380,82,403,87,460,100,1498,324,1498,324,1498,324,462,100,462,100,462,100,237,51
JHH368ROI4,-550.0,550.0,-550.0,550.0,474,103,399,86,316,68,316,68,399,86,474,103,2100,455,2100,455,2100,455,409,89,409,89,409,89,224,49
JHH369ROI1,-550.0,550.0,-550.0,550.0,509,110,544,118,497,108,497,108,544,118,509,110,1963,425,1963,425,1963,425,578,125,578,125,578,125,327,71
JHH369ROI2,-550.0,550.0,-550.0,550.0,409,89,476,103,380,82,380,82,476,103,409,89,2286,495,2286,495,2286,495,593,128,593,128,593,128,265,57
JHH369ROI3,-550.0,550.0,-550.0,550.0,409,89,377,82,405,88,405,88,377,82,409,89,1705,369,1705,369,1705,369,627,136,627,136,627,136,254,55
JHH369ROI4,-550.0,550.0,-550.0,550.0,427,92,469,102,455,99,455,99,469,102,427,92,1732,375,1732,375,1732,375,496,107,496,107,496,107,273,59
JHH372ROI1,-550.0,550.0,-550.0,550.0,413,89,577,125,604,131,604,131,577,125,413,89,1947,422,1947,422,1947,422,563,122,563,122,563,122,292,63
JHH372ROI2,-550.0,550.0,-550.0,550.0,365,79,438,95,487,105,487,105,438,95,365,79,1944,421,1944,421,1944,421,712,154,712,154,712,154,238,52
