roi,layout,folder,seed_base,seed_roi,iterations,sha1
JHH317ROI1,1,JHH317ROI1_wellmixed_r1,20260925,3660280235,118,e1e61748aaa863f5484a009d6ec2a469c03ee3cd
JHH317ROI2,1,JHH317ROI2_wellmixed_r1,20260925,1126309905,35,60d88b18b53cf61d1c7cddb36cfa92052e9f35bc
JHH317ROI3,1,JHH317ROI3_wellmixed_r1,20260925,874844295,89,71525842061f40e080bf22247d3d828f583c388f
JHH317ROI4,1,JHH317ROI4_wellmixed_r1,20260925,2856420644,102,babfa8e92d3b05b8aa53d9e6fab1b7113cf4f9ba
JHH352ROI1,1,JHH352ROI1_wellmixed_r1,20260925,2304425165,77,a5ed5d581be5cfb368848c5395e8014f9150b134
JHH352ROI2,1,JHH352ROI2_wellmixed_r1,20260925,273935735,30,b712368019087938cb84145c703a0f63965ef3bb
JHH352ROI3,1,JHH352ROI3_wellmixed_r1,20260925,1733615073,11,027d7610e2c229fb4d02e952989c404fa20ce85c
JHH352ROI4,1,JHH352ROI4_wellmixed_r1,20260925,4180691010,70,6d3ff13e5d36d16597501e565a39480a6cdf42ba
JHH357ROI1,1,JHH357ROI1_wellmixed_r1,20260925,1102721981,1,f423b45b7fd066d07ffea61cc4bc78cd0047245e
JHH357ROI3,1,JHH357ROI3_wellmixed_r1,20260925,2947830417,29,f22b3608aaf694d19e18f32df1f70f901ebbf8e0
JHH357ROI5,1,JHH357ROI5_wellmixed_r1,20260925,1188558756,13,c8e943981c4dab368314d1abcd4ac64c563209f6
JHH361ROI1,1,JHH361ROI1_wellmixed_r1,20260925,1215214771,175,cc4c096040dcb971b0c0f3118c3664e5b0eb6568
JHH361ROI2,1,JHH361ROI2_wellmixed_r1,20260925,3513246985,109,6bae08576cb3fac979cea45e2a995addf62cb24c
JHH361ROI3,1,JHH361ROI3_wellmixed_r1,20260925,2791363999,95,e88cacdaf5505db6e250a8d5c370caf9103abceb
JHH361ROI4,1,JHH361ROI4_wellmixed_r1,20260925,939802684,95,43847ad3a64dccfa56a4dbc7b4fcde2aa7a76028
JHH362ROI1,1,JHH362ROI1_wellmixed_r1,20260925,265211491,113,0c2f9620e6892d06f5da8cd7e44f132c4581de80
JHH362ROI2,1,JHH362ROI2_wellmixed_r1,20260925,2529664985,55,f6e2d290964b531a79b72d0cf8c58ae304d63db9
JHH362ROI3,1,JHH362ROI3_wellmixed_r1,20260925,3787501391,85,9068659accf7ee34ba43c08736d15dbba6c63ea9
JHH362ROI4,1,JHH362ROI4_wellmixed_r1,20260925,2141469420,49,dc166ae7a58a4b2e584419a3af178e5b85d8670b
JHH368ROI1,1,JHH368ROI1_wellmixed_r1,20260925,1165940418,122,05bddb939c4a0f77069dd1b0d3c9241ae617a5bb
JHH368ROI2,1,JHH368ROI2_wellmixed_r1,20260925,3698820984,49,4496f6a25717998dd2d704e86dfd68b6d1bccea0
