roi,n_cells,image_area_um2,structural_area_um2,free_area_um2,disk_radius_um,coverage,ecm_mean
JHH317ROI1,2713,580000.0,68009.0,511991.0,403.698,0.3527,5.989466
JHH317ROI2,1149,1000000.0,72438.0,927562.0,543.371,0.0909,6.588004
JHH317ROI3,1822,1000000.0,406230.0,593770.0,434.745,0.3096,4.498447
JHH317ROI4,2276,1000000.0,371189.0,628811.0,447.389,0.3398,5.138042
JHH352ROI1,3530,1000000.0,170802.0,829198.0,513.753,0.3177,6.099327
JHH352ROI2,360,1000000.0,523807.0,476193.0,389.329,0.2179,3.500922
JHH352ROI3,344,1000000.0,298918.0,701082.0,472.4,0.046,5.94291
JHH352ROI4,837,1000000.0,509339.0,490661.0,395.199,0.3523,3.687662
JHH357ROI1,244,1210000.0,288479.0,921521.0,541.599,0.0284,4.720266
JHH357ROI3,676,1210000.0,454476.0,755524.0,490.399,0.1151,5.902646
JHH357ROI5,200,1210000.0,438403.0,771597.0,495.587,0.0438,4.189738
JHH361ROI1,4692,1210000.0,313573.0,896427.0,534.174,0.4409,4.371795
JHH361ROI2,1256,1210000.0,302790.0,907210.0,537.377,0.305,4.436633
JHH361ROI3,1045,1210000.0,341460.0,868540.0,525.799,0.319,4.968136
JHH361ROI4,1164,1210000.0,255271.0,954729.0,551.271,0.3378,4.722928
JHH362ROI1,804,1210000.0,539173.0,670827.0,462.094,0.3609,3.35952
JHH362ROI2,915,1210000.0,318489.0,891511.0,532.707,0.2974,4.461533
JHH362ROI3,868,1210000.0,322865.0,887135.0,531.398,0.2623,5.808031
JHH362ROI4,978,1210000.0,304360.0,905640.0,536.912,0.2573,5.628925
JHH368ROI1,4013,1210000.0,303400.0,906600.0,537.196,0.3451,6.237842
JHH368ROI2,2447,1210000.0,303722.0,906278.0,537.101,0.2084,4.649352
JHH368ROI3,2114,1210000.0,345763.0,864237.0,524.495,0.1976,6.011612
JHH368ROI4,577,1210000.0,164120.0,1045880.0,576.987,0.0455,6.000073
JHH369ROI1,2751,1210000.0,318814.0,891186.0,532.61,0.2818,4.819149
JHH369ROI2,1327,1210000.0,281608.0,928392.0,543.614,0.1215,5.919046
JHH369ROI3,3090,1210000.0,232998.0,977002.0,557.664,0.2617,6.348079
JHH369ROI4,2775,1210000.0,317131.0,892869.0,533.113,0.2609,6.406746
JHH372ROI1,4557,1210000.0,331553.0,878447.0,528.79,0.4926,5.381539
JHH372ROI2,4436,1210000.0,421626.0,788374.0,500.946,0.5526,3.406649
JHH372ROI3,1743,1210000.0,245466.0,964534.0,554.094,0.2205,4.781672
JHH380ROI1,5124,1000000.0,149467.0,850533.0,520.32,0.4089,6.035943
JHH380ROI2,3237,1000000.0,209863.0,790137.0,501.506,0.3015,6.140564
JHH380ROI3,960,1000000.0,198871.0,801129.0,504.982,0.1123,7.18792
JHH380ROI4,2377,1000000.0,250136.0,749864.0,488.558,0.2821,6.394113
JHH383ROI1,1645,1000000.0,300296.0,699704.0,471.935,0.2209,5.164938
JHH383ROI3,2026,1000000.0,214993.0,785007.0,499.875,0.1805,5.506814
JHH383ROI4,3075,1000000.0,228655.0,771345.0,495.507,0.4074,5.394395
JHH387ROI1,5127,1000000.0,234557.0,765443.0,493.607,0.4651,5.341019
JHH387ROI2,4302,1000000.0,329404.0,670596.0,462.014,0.5172,4.754405
JHH387ROI3,3762,1000000.0,207529.0,792471.0,502.246,0.3618,5.716332
JHH387ROI4,3837,1000000.0,313840.0,686160.0,467.345,0.5355,3.995908
JHH388ROI1,2128,1000000.0,250698.0,749302.0,488.375,0.3105,6.029275
JHH388ROI2,1110,1000000.0,196480.0,803520.0,505.735,0.1155,6.655291
JHH388ROI3,1016,1000000.0,226667.0,773333.0,496.145,0.0927,5.987777
JHH388ROI5,2463,1000000.0,268699.0,731301.0,482.473,0.2617,5.482633
JHH390ROI2,1493,1000000.0,293484.0,706516.0,474.227,0.1979,5.532986
JHH390ROI3,723,1000000.0,179321.0,820679.0,511.107,0.103,6.212342
JHH417RROI4,1957,1000000.0,217935.0,782065.0,498.938,0.1796,5.572062
