Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	80ArAr: Mean	80ArAr: Median	80ArAr: Min	80ArAr: Max	80ArAr: Std.Dev.	CD45: Mean	CD45: Median	CD45: Min	CD45: Max	CD45: Std.Dev.	Ruthenium: Mean	Ruthenium: Median	Ruthenium: Min	Ruthenium: Max	Ruthenium: Std.Dev.	Collagen: Mean	Collagen: Median	Collagen: Min	Collagen: Max	Collagen: Std.Dev.	Ecadherin: Mean	Ecadherin: Median	Ecadherin: Min	Ecadherin: Max	Ecadherin: Std.Dev.	120Sn: Mean	120Sn: Median	120Sn: Min	120Sn: Max	120Sn: Std.Dev.	127I: Mean	127I: Median	127I: Min	127I: Max	127I: Std.Dev.	131Xe: Mean	131Xe: Median	131Xe: Min	131Xe: Max	131Xe: Std.Dev.	133Cs: Mean	133Cs: Median	133Cs: Min	133Cs: Max	133Cs: Std.Dev.	138Ba: Mean	138Ba: Median	138Ba: Min	138Ba: Max	138Ba: Std.Dev.	SMA: Mean	SMA: Median	SMA: Min	SMA: Max	SMA: Std.Dev.	Podoplanin: Mean	Podoplanin: Median	Podoplanin: Min	Podoplanin: Max	Podoplanin: Std.Dev.	VIM: Mean	VIM: Median	VIM: Min	VIM: Max	VIM: Std.Dev.	S100A4: Mean	S100A4: Median	S100A4: Min	S100A4: Max	S100A4: Std.Dev.	CD45RO: Mean	CD45RO: Median	CD45RO: Min	CD45RO: Max	CD45RO: Std.Dev.	CD16: Mean	CD16: Median	CD16: Min	CD16: Max	CD16: Std.Dev.	CD163: Mean	CD163: Median	CD163: Min	CD163: Max	CD163: Std.Dev.	CK: Mean	CK: Median	CK: Min	CK: Max	CK: Std.Dev.	TFF1: Mean	TFF1: Median	TFF1: Min	TFF1: Max	TFF1: Std.Dev.	PDL1: Mean	PDL1: Median	PDL1: Min	PDL1: Max	PDL1: Std.Dev.	PD1: Mean	PD1: Median	PD1: Min	PD1: Max	PD1: Std.Dev.	CD31: Mean	CD31: Median	CD31: Min	CD31: Max	CD31: Std.Dev.	Tox_Tox2: Mean	Tox_Tox2: Median	Tox_Tox2: Min	Tox_Tox2: Max	Tox_Tox2: Std.Dev.	CD57: Mean	CD57: Median	CD57: Min	CD57: Max	CD57: Std.Dev.	FOXP3: Mean	FOXP3: Median	FOXP3: Min	FOXP3: Max	FOXP3: Std.Dev.	CD4: Mean	CD4: Median	CD4: Min	CD4: Max	CD4: Std.Dev.	NCAD: Mean	NCAD: Median	NCAD: Min	NCAD: Max	NCAD: Std.Dev.	CD68: Mean	CD68: Median	CD68: Min	CD68: Max	CD68: Std.Dev.	IL6: Mean	IL6: Median	IL6: Min	IL6: Max	IL6: Std.Dev.	CD20: Mean	CD20: Median	CD20: Min	CD20: Max	CD20: Std.Dev.	CD8: Mean	CD8: Median	CD8: Min	CD8: Max	CD8: Std.Dev.	PDGFRa: Mean	PDGFRa: Median	PDGFRa: Min	PDGFRa: Max	PDGFRa: Std.Dev.	IL8: Mean	IL8: Median	IL8: Min	IL8: Max	IL8: Std.Dev.	GATA6: Mean	GATA6: Median	GATA6: Min	GATA6: Max	GATA6: Std.Dev.	CD45RA: Mean	CD45RA: Median	CD45RA: Min	CD45RA: Max	CD45RA: Std.Dev.	GZMB: Mean	GZMB: Median	GZMB: Min	GZMB: Max	GZMB: Std.Dev.	KI67: Mean	KI67: Median	KI67: Min	KI67: Max	KI67: Std.Dev.	CXCL12: Mean	CXCL12: Median	CXCL12: Min	CXCL12: Max	CXCL12: Std.Dev.	CD3: Mean	CD3: Median	CD3: Min	CD3: Max	CD3: Std.Dev.	S100A2: Mean	S100A2: Median	S100A2: Min	S100A2: Max	S100A2: Std.Dev.	FAP_alpha: Mean	FAP_alpha: Median	FAP_alpha: Min	FAP_alpha: Max	FAP_alpha: Std.Dev.	CD173: Mean	CD173: Median	CD173: Min	CD173: Max	CD173: Std.Dev.	HLADR: Mean	HLADR: Median	HLADR: Min	HLADR: Max	HLADR: Std.Dev.	CD105: Mean	CD105: Median	CD105: Min	CD105: Max	CD105: Std.Dev.	KRT17: Mean	KRT17: Median	KRT17: Min	KRT17: Max	KRT17: Std.Dev.	190BCKG: Mean	190BCKG: Median	190BCKG: Min	190BCKG: Max	190BCKG: Std.Dev.	190Os: Mean	190Os: Median	190Os: Min	190Os: Max	190Os: Std.Dev.	DNA1: Mean	DNA1: Median	DNA1: Min	DNA1: Max	DNA1: Std.Dev.	DNA2: Mean	DNA2: Median	DNA2: Min	DNA2: Max	DNA2: Std.Dev.	PM2: Mean	PM2: Median	PM2: Min	PM2: Max	PM2: Std.Dev.	PM3: Mean	PM3: Median	PM3: Min	PM3: Max	PM3: Std.Dev.	PM4: Mean	PM4: Median	PM4: Min	PM4: Max	PM4: Std.Dev.	204Pb: Mean	204Pb: Median	204Pb: Min	204Pb: Max	204Pb: Std.Dev.	208Pb: Mean	208Pb: Median	208Pb: Min	208Pb: Max	208Pb: Std.Dev.
JHH390_ROI004_ROI_T1.ome.tif	a5ba656e-7a42-4a01-9154-8f78e5a6f982	Detection		Other: CD8 T cell	Annotation	Polygon	26.54	87.56	0.8293	67.6854	30.417	0.9193	1	10.622	8.7943	3422.5146	3440.5	3081	3770	169.4696	0.4265	0	0	3	0.7788	0.1912	0	0	2	0.4322	3.9118	4	0	13	2.7358	0.2647	0	0	2	0.4769	1.0147	1	0	5	1.1907	9.3529	9	2	20	3.8353	81.1912	81.5	56	102	11.5076	0.2206	0	0	2	0.4839	0.1912	0	0	4	0.5797	6.7206	6	0	20	5.0189	0.5	0	0	5	0.8376	17.9706	16	6	44	7.9794	1.75	1	0	8	1.6606	0.2206	0	0	2	0.4839	0.0147	0	0	1	0.1213	0.1324	0	0	2	0.3826	0.1912	0	0	2	0.4654	0.0588	0	0	1	0.237	0.1029	0	0	3	0.4617	0.0735	0	0	1	0.2629	0.3676	0	0	6	0.9448	0.4265	0	0	6	1.0412	0.5	0	0	3	0.8011	0.0147	0	0	1	0.1213	1.1618	1	0	6	1.4823	0.1324	0	0	2	0.3826	0.0735	0	0	1	0.2629	0.1765	0	0	2	0.4552	0.0588	0	0	1	0.237	4.6176	1	0	32	7.318	0.4118	0	0	2	0.6519	0.1324	0	0	2	0.3826	0.9412	0	0	6	1.337	1.3824	1	0	8	1.8368	0.1912	0	0	1	0.3962	0.0441	0	0	1	0.2069	0.2206	0	0	3	0.5421	0.6912	0	0	7	1.3522	1.5441	1	0	6	1.2391	0.3382	0	0	3	0.6826	0.1029	0	0	2	0.3515	1.25	1	0	8	1.6334	0.1618	0	0	3	0.5628	0.0147	0	0	1	0.1213	0	0	0	0	0	0.0294	0	0	1	0.1702	126.2647	127	15	289	58.3573	225.2941	225	20	474	104.3905	4.0588	4	0	12	2.8331	3.9118	3.5	0	12	2.7683	2.5588	2	0	9	1.9954	0.25	0	0	4	0.6991	0.3529	0	0	2	0.6173
JHH390_ROI004_ROI_T1.ome.tif	58908710-0ff5-48de-905f-946df91fffba	Detection		Other	Annotation	Polygon	43.37	29.88	0.815	80.916	34.6612	0.8464	1	13.64	8.1343	3492.2561	3479	3156	3925	171.1734	0.0244	0	0	1	0.1552	0.1707	0	0	2	0.4099	3.8902	3	0	11	2.8065	0.4634	0	0	4	0.8042	1.1341	1	0	5	1.2547	10.439	10	4	21	3.9724	80.1707	77	58	115	11.8069	0.2561	0	0	2	0.4664	0.1707	0	0	2	0.4663	30.2195	23	2	105	24.7406	0.3415	0	0	2	0.6521	8.3659	7	0	39	7.4511	0.2805	0	0	4	0.7248	0.3049	0	0	3	0.6972	0.1341	0	0	2	0.3772	0.0854	0	0	2	0.3221	0.5732	0	0	25	2.8022	0.1341	0	0	2	0.3772	0.1098	0	0	2	0.3516	0.0854	0	0	2	0.3221	0.4146	0	0	4	0.8742	0.0854	0	0	2	0.3221	0.1098	0	0	2	0.3851	0.0244	0	0	1	0.1552	0.6341	0	0	6	1.1168	0.4634	0	0	3	0.7403	0.0366	0	0	1	0.1889	0.1707	0	0	2	0.4099	0.1341	0	0	2	0.3772	0.4024	0	0	3	0.6641	0.4756	0	0	4	0.7892	0.1098	0	0	1	0.3145	3.9146	3	0	14	3.1825	0.4024	0	0	4	0.8586	0.2317	0	0	3	0.5043	0.061	0	0	1	0.2408	0.7073	0	0	6	1.1914	0.2561	0	0	3	0.54	1.7805	1.5	0	8	1.5794	0.5	0	0	3	0.7071	0.0976	0	0	1	0.2985	0.7439	0	0	7	1.4385	1.122	1	0	4	1.18	0.0488	0	0	1	0.2167	0.0244	0	0	1	0.1552	0.0366	0	0	1	0.1889	73.1707	73	28	142	28.8961	131.2561	125.5	43	247	52.7624	2.0488	2	0	9	1.911	3.4268	3	0	11	2.6575	1.7073	1	0	9	1.8018	0.1585	0	0	2	0.4573	0.9634	0	0	28	3.1562
JHH390_ROI004_ROI_T1.ome.tif	9199805c-1d11-40f9-be62-ea3db5448ba3	Detection		Other: CD4 T cell	Annotation	Polygon	42.93	61.89	0.7676	49.8983	26.6459	0.8832	1	9.4247	7.5127	3474.3401	3478.5	3106	4017	190.4696	0.74	0	0	3	0.9216	0.18	0	0	2	0.4375	3.64	4	0	10	2.3713	0.34	0	0	6	0.9817	0.96	1	0	6	1.2115	11.12	11	3	20	4.3689	79.6	79.5	55	104	10.172	0.3	0	0	2	0.6145	0.14	0	0	1	0.3505	6.7	5	0	34	7.6218	0.32	0	0	3	0.6207	4.3	4	0	17	3.1639	0.54	0	0	2	0.706	0.5	0	0	5	0.9313	0.04	0	0	1	0.1979	0.04	0	0	1	0.1979	0.22	0	0	4	0.7083	0.08	0	0	1	0.274	0.1	0	0	3	0.4629	0.1	0	0	2	0.4165	0.18	0	0	6	0.8734	0.3	0	0	4	0.7354	0.34	0	0	1	0.4785	0.02	0	0	1	0.1414	4.24	3	0	13	3.5775	0.22	0	0	2	0.4647	0.02	0	0	1	0.1414	0.12	0	0	2	0.3854	0.12	0	0	1	0.3283	0.18	0	0	2	0.4375	0.22	0	0	1	0.4185	0.04	0	0	1	0.1979	0.4	0	0	2	0.6389	0.28	0	0	3	0.6074	0.18	0	0	2	0.4375	0	0	0	0	0	0.12	0	0	1	0.3283	3.68	3	0	14	2.8099	1.38	1	0	5	1.3384	0.34	0	0	2	0.5194	0.1	0	0	2	0.3642	0.68	0.5	0	3	0.8437	0.1	0	0	2	0.4165	0.02	0	0	1	0.1414	0.1	0	0	2	0.3642	0.06	0	0	1	0.2399	159.64	175.5	18	395	95.2721	291.84	301	37	761	180.1837	1.64	1	0	6	1.4813	3.08	3	0	9	2.23	1.34	1	0	5	1.2224	0.18	0	0	2	0.4375	0.52	0	0	3	0.7887
JHH390_ROI004_ROI_T1.ome.tif	08eae399-12a0-4d3c-ac79-50aa6b38771c	Detection		HLA-DR: Other	Annotation	Polygon	13.71	72.93	0.7571	65.7671	33.4894	0.7369	0.9659	13.6607	7.6305	3489.4849	3497	3065	3860	176.7422	0.2879	0	0	2	0.5193	0.1212	0	0	2	0.4119	4.5758	3	0	23	4.3785	0.4848	0	0	3	0.7695	1.8485	1	0	10	1.9155	10.0152	10	2	18	3.3764	84.197	81	65	109	11.3113	0.2576	0	0	3	0.5899	0.1364	0	0	2	0.3877	11.0455	11	1	28	6.7946	0.4091	0	0	4	0.7437	9.8788	10	0	28	5.3278	0.6364	0	0	4	0.8346	0.4545	0	0	3	0.7683	0.0606	0	0	1	0.2404	0.6515	0	0	4	0.9029	0.197	0	0	3	0.5608	0.0909	0	0	1	0.2897	0.1515	0	0	1	0.3613	0.1667	0	0	1	0.3755	0.7424	0	0	4	1.0275	0.2424	0	0	3	0.5834	0.2727	0	0	4	0.6213	0.0455	0	0	1	0.2099	1.3333	1	0	6	1.4919	0.3485	0	0	2	0.5682	0.0606	0	0	2	0.2976	0.3636	0	0	8	1.0903	0.2121	0	0	2	0.4477	0.5303	0	0	5	1.0844	0.4697	0	0	3	0.7888	0.2121	0	0	2	0.4477	1.1212	1	0	7	1.3758	0.5	0	0	5	0.9157	0.2727	0	0	3	0.596	0.0606	0	0	1	0.2404	0.3182	0	0	3	0.66	0.3333	0	0	5	0.791	2.2424	2	0	9	2.3009	0.9545	1	0	4	1.0732	0.2273	0	0	4	0.6275	28.3182	25	3	65	15.3043	0.4242	0	0	3	0.7857	0.1667	0	0	2	0.4145	0.0455	0	0	1	0.2099	0.0758	0	0	2	0.3192	176.2273	184.5	33	333	78.2709	312.1818	326	44	595	135.1812	3.8333	4	0	14	2.8854	3.4545	3	0	11	2.7745	1.5455	1	0	7	1.3943	0.303	0	0	4	0.6556	0.8788	0	0	7	1.398
JHH390_ROI004_ROI_T1.ome.tif	cdc00050-0f1f-4b0a-8894-3add02f0d342	Detection		Other	Annotation	Polygon	14.18	20.93	0.7441	102.4278	37.4268	0.9189	1	13.7108	10.2568	3473.7427	3470	2937	3990	183.3895	0.1287	0	0	2	0.3915	0.1683	0	0	4	0.5669	4.4356	4	0	14	2.4593	0.4158	0	0	2	0.6044	1.0891	1	0	7	1.2578	9.7327	9	3	21	3.8598	79.8812	80	51	110	11.8366	0.2475	0	0	3	0.5551	0.0891	0	0	1	0.2863	5.4257	5	0	23	4.0407	0.3069	0	0	3	0.6123	6.1485	6	0	20	4.0259	0.1584	0	0	4	0.5241	0.0396	0	0	1	0.196	0.0396	0	0	1	0.196	0.0594	0	0	1	0.2376	0.1782	0	0	2	0.456	0.1089	0	0	5	0.5639	0.0792	0	0	3	0.3656	0.0297	0	0	1	0.1706	0.1287	0	0	2	0.3651	0.1188	0	0	1	0.3252	0.1782	0	0	2	0.4098	0.0198	0	0	1	0.14	0.2574	0	0	3	0.5414	0.3861	0	0	4	0.787	0.0495	0	0	2	0.2599	0.1386	0	0	3	0.4697	0.0495	0	0	1	0.218	0.2772	0	0	3	0.5851	0.2574	0	0	2	0.5031	0.1386	0	0	3	0.5105	2.3465	2	0	10	2.1375	0.2277	0	0	2	0.4665	0.1485	0	0	2	0.4095	0.099	0	0	1	0.3002	0.2673	0	0	2	0.5271	0.1485	0	0	1	0.3574	0.9802	1	0	6	1.1998	0.4356	0	0	3	0.7269	0.0792	0	0	2	0.306	0.6931	0	0	4	0.8803	0.1782	0	0	2	0.4098	0.0297	0	0	2	0.2216	0.0297	0	0	1	0.1706	0.0099	0	0	1	0.0995	62.8218	62	19	133	26.7654	112.9406	108	30	222	44.1941	1.7129	1	0	7	1.6931	2.2376	2	0	13	2.1961	1.0693	1	0	7	1.409	0.1683	0	0	1	0.376	0.3168	0	0	4	0.6772
JHH390_ROI004_ROI_T1.ome.tif	c37dda57-b652-4c95-869b-cc33430797cd	Detection		Other: CAF	Annotation	Polygon	16.48	32.76	0.6826	87.8601	39.7467	0.6989	1	17.199	6.6378	3461.6592	3451.5	3063	3883	174.7489	0.2159	0	0	2	0.4901	0.1932	0	0	2	0.425	3.375	3	0	12	2.4556	0.4432	0	0	5	0.9079	0.8523	1	0	6	1.0563	10.7045	10	3	22	3.8121	80.75	83.5	46	102	13.3212	0.2727	0	0	2	0.5192	0.1136	0	0	3	0.4133	15.8864	14.5	2	41	8.7263	0.7045	0	0	11	1.4634	9.4318	6	0	51	9.841	0.3409	0	0	2	0.6043	0.2955	0	0	2	0.5705	0.0455	0	0	1	0.2095	0.0795	0	0	2	0.3465	0.2273	0	0	6	0.754	0.0909	0	0	2	0.3265	0.1136	0	0	1	0.3192	0.0795	0	0	2	0.3115	0.2045	0	0	2	0.4833	0.0909	0	0	1	0.2891	0.2159	0	0	2	0.4901	0	0	0	0	0	0.3409	0	0	3	0.6761	0.3409	0	0	4	0.8562	0.0682	0	0	3	0.365	0.1136	0	0	1	0.3192	0.0568	0	0	1	0.2328	0.2386	0	0	3	0.6064	0.4091	0	0	3	0.6545	0.125	0	0	3	0.4501	1.9773	2	0	9	2.0621	0.2841	0	0	2	0.5456	0.1932	0	0	4	0.5844	0	0	0	0	0	0.5909	0	0	4	0.8793	0.1705	0	0	2	0.4604	1.0795	1	0	10	1.4322	0.5114	0	0	5	0.884	0.1477	0	0	2	0.4431	0.9205	0	0	5	1.2705	0.2614	0	0	4	0.6342	0.0227	0	0	1	0.1499	0.0227	0	0	1	0.1499	0	0	0	0	0	65.9432	69.5	5	137	31.8976	117.3182	120.5	8	264	56.7344	1.9091	2	0	7	1.6091	2.7614	3	0	9	1.9298	1	1	0	4	1.1346	0.3523	0	0	7	0.9102	3.5	0	0	223	23.8675
JHH390_ROI004_ROI_T1.ome.tif	d8987cc5-d21e-4536-a601-5b6569f0c97c	Detection		Other	Annotation	Polygon	83	93.28	0.671	74.5766	33.4954	0.8353	1	13.0665	7.2059	3456.5212	3454	2880	4068	223.0315	0.0986	0	0	1	0.3002	0.1408	0	0	2	0.4241	3.5775	3	0	11	2.6547	0.2817	0	0	2	0.5394	1.1549	1	0	6	1.4107	10.2113	10	4	22	3.5853	81.8732	81	58	107	11.7193	0.3521	0	0	2	0.5372	0.169	0	0	2	0.4777	13.4648	11	1	43	8.7877	0.2535	0	0	4	0.6911	7.9296	7	0	36	6.4925	0.2394	0	0	3	0.6202	0.2535	0	0	4	0.6701	0.0845	0	0	1	0.2801	0.1268	0	0	1	0.3351	0.1127	0	0	2	0.3982	0.0282	0	0	1	0.1666	0.1127	0	0	2	0.3605	0.1268	0	0	2	0.4116	0.2394	0	0	2	0.5468	0.0986	0	0	4	0.5114	0.338	0	0	4	0.7918	0	0	0	0	0	0.1972	0	0	4	0.6005	0.3099	0	0	3	0.6457	0.1127	0	0	3	0.5223	0.0986	0	0	2	0.3445	0.0282	0	0	1	0.1666	0.0845	0	0	1	0.2801	0.1972	0	0	2	0.4666	0.1268	0	0	4	0.5326	1.7606	1	0	10	2.0104	0.2113	0	0	3	0.5835	0.1831	0	0	3	0.5685	0.0141	0	0	1	0.1187	0.0845	0	0	2	0.3272	0.169	0	0	4	0.5603	0.9155	1	0	7	1.2392	0.2113	0	0	2	0.4445	0.0845	0	0	1	0.2801	0.6761	0	0	3	0.9223	0.169	0	0	3	0.5067	0.0986	0	0	2	0.3445	0.0704	0	0	1	0.2577	0.0423	0	0	1	0.2026	79.2113	82	5	141	34.0432	141.2535	136	6	283	63.1377	1.338	1	0	10	1.5761	1.9014	1	0	8	1.9358	0.7465	0	0	3	0.9669	0.3521	0	0	6	0.9118	0.3099	0	0	2	0.5755
JHH390_ROI004_ROI_T1.ome.tif	c94e0ed3-7702-4b9a-ad26-5691612e918c	Detection		HLA-DR: Other	Annotation	Polygon	8.343	64.7	0.6697	92.4593	37.7509	0.8153	1	15.5216	8.7937	3479.9333	3475.5	3074	3914	174.6673	0.1667	0	0	2	0.4036	0.1222	0	0	2	0.3619	4.5889	4	0	14	2.7392	0.4778	0	0	3	0.8104	1.6778	1	0	15	2.4987	10.1889	10	0	24	4.9648	83.7667	83	56	122	12.6811	0.2667	0	0	2	0.5363	0.1556	0	0	1	0.3645	8.5667	6	0	43	8.6597	0.4556	0	0	4	0.7813	6.8	6	0	21	4.7834	0.3111	0	0	4	0.6473	0.4333	0	0	4	0.7651	0.0556	0	0	2	0.2748	0.2667	0	0	3	0.7465	0.3889	0	0	25	2.6423	0.0778	0	0	1	0.2693	0.0778	0	0	1	0.2693	0.0778	0	0	1	0.2693	0.4	0	0	4	0.7465	0.1222	0	0	2	0.3619	0.2333	0	0	2	0.4983	0	0	0	0	0	0.5	0	0	5	0.89	0.2333	0	0	5	0.6712	0.0333	0	0	1	0.1805	0.0556	0	0	1	0.2303	0.1	0	0	2	0.3369	0.2333	0	0	3	0.619	0.3667	0	0	2	0.608	0.1889	0	0	3	0.517	0.9667	1	0	6	1.2493	0.4	0	0	4	0.8319	0.2	0	0	5	0.6737	0.0667	0	0	3	0.361	0.2333	0	0	3	0.5816	0.2222	0	0	3	0.5359	1.4667	1	0	8	1.6639	0.9222	0	0	7	1.4081	0.2556	0	0	3	0.6458	13	2	0	79	19.4336	0.3556	0	0	4	0.6756	0.1111	0	0	3	0.4607	0.0333	0	0	1	0.1805	0.0111	0	0	1	0.1054	82.9444	85.5	4	163	39.1331	149.9556	150.5	16	292	70.1251	2.1556	2	0	13	2.4399	2.8333	2	0	12	2.5975	1.0778	1	0	7	1.4396	0.2111	0	0	3	0.5507	0.4778	0	0	3	0.7822
JHH390_ROI004_ROI_T1.ome.tif	1ac41511-4f29-4266-bbd8-1da67630e98c	Detection		Other	Annotation	Polygon	87.98	99.29	0.6676	48.6444	26.0361	0.9018	1	9.2086	7.0175	3408.8215	3402.5	2973	3751	207.5753	0.2143	0	0	2	0.4987	0.25	0	0	2	0.5853	3.1429	3	0	8	2.3048	0.25	0	0	1	0.441	0.4643	0	0	3	0.7927	9.2857	9	3	18	4.4377	81.9643	82.5	59	102	12.3663	0.1071	0	0	1	0.315	0.1429	0	0	1	0.3563	8.5	8.5	0	22	5.4806	0.5	0	0	4	1.1055	3.8214	3.5	0	11	2.3891	0.2857	0	0	4	0.81	0.5357	0	0	3	0.8381	0.0714	0	0	1	0.2623	0.0714	0	0	2	0.378	0.0357	0	0	1	0.189	0.0714	0	0	2	0.378	0.1429	0	0	2	0.4484	0.0714	0	0	1	0.2623	0.2143	0	0	1	0.4179	0.2143	0	0	2	0.4987	0.4643	0	0	3	0.7445	0	0	0	0	0	0.2143	0	0	1	0.4179	0.1429	0	0	2	0.4484	0.0357	0	0	1	0.189	0	0	0	0	0	0.1071	0	0	1	0.315	0.0357	0	0	1	0.189	0.4643	0	0	3	0.7445	0.1071	0	0	2	0.4163	0.8571	1	0	4	1.044	0.1429	0	0	1	0.3563	0.25	0	0	2	0.5182	0.0357	0	0	1	0.189	0.2143	0	0	1	0.4179	0.3214	0	0	2	0.548	0.7857	0.5	0	6	1.228	0.3571	0	0	4	0.8262	0.1429	0	0	1	0.3563	0.7857	0.5	0	3	0.9567	0.5	0	0	3	0.923	0.0357	0	0	1	0.189	0	0	0	0	0	0	0	0	0	0	70.8214	66.5	25	153	34.0088	134.7857	124.5	52	252	52.3191	1.5	1	0	9	1.8954	3.3929	3	0	11	2.5869	0.8929	1	0	4	0.994	0.25	0	0	1	0.441	0.5	0	0	2	0.7454
JHH390_ROI004_ROI_T1.ome.tif	cdd5d1d1-5ffd-487b-942b-bb901cfb558b	Detection		Other	Annotation	Polygon	99.86	83.13	0.6641	56.455	28.7028	0.8611	1	11.0469	6.8085	3463.3572	3494.5	3129	3666	131.9007	0.1786	0	0	1	0.39	0.1429	0	0	1	0.3563	4.4286	4	1	10	2.6587	0.3929	0	0	3	0.786	0.7857	1	0	2	0.7868	10.25	11	3	16	3.5551	80.7143	82.5	63	99	7.6877	0.2857	0	0	2	0.5345	0.1429	0	0	1	0.3563	9.7857	6	1	40	9.4609	0.6429	0	0	3	1.0616	8.8929	9	0	23	5.7885	0.4643	0	0	3	0.7927	0.2143	0	0	1	0.4179	0	0	0	0	0	0	0	0	0	0	0.1429	0	0	1	0.3563	0.0714	0	0	1	0.2623	0.3214	0	0	4	0.863	0.1071	0	0	1	0.315	0.2143	0	0	2	0.4987	0.0357	0	0	1	0.189	0.4643	0	0	3	0.7445	0	0	0	0	0	0.5357	0	0	4	0.9993	0.3214	0	0	2	0.6696	0.0357	0	0	1	0.189	0.2143	0	0	2	0.4987	0.0714	0	0	1	0.2623	0.0714	0	0	2	0.378	0.3214	0	0	3	0.7228	0.1429	0	0	1	0.3563	1.2143	1	0	3	0.9172	0.3214	0	0	4	0.8189	0.1429	0	0	1	0.3563	0	0	0	0	0	0.1786	0	0	2	0.4756	0.1071	0	0	1	0.315	1.0357	1	0	4	1.0357	0.3214	0	0	2	0.6118	0.1786	0	0	1	0.39	1.1071	1	0	6	1.4231	0.3929	0	0	3	0.786	0.0714	0	0	1	0.2623	0	0	0	0	0	0	0	0	0	0	68.8214	63	8	144	35.7564	123.9286	123	11	231	62.6382	2.4286	2	0	8	2.0625	2.7143	2	0	9	2.4473	1	1	0	5	1.1863	0.1786	0	0	2	0.4756	0.3929	0	0	4	0.8317
